MANAGEMENT POLICY: Best	POOL SIZE 1024 KB
Failed Req 217 is size 128224
Failed Req 302 is size 118560
Failed Req 350 is size 128160
Failed Req 556 is size 126048
Failed Req 592 is size 58208
Failed Req 634 is size 65696
Failed Req 635 is size 100448
Failed Req 873 is size 80736

TOTAL ALLOCATIONS: 492

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
354	alloc	55456		YES	167392		6		62112
355	free	329		YES	214080		6		62112
356	free	334		YES	288864		6		95648
357	free	336		YES	290240		6		95648
358	free	332		YES	400032		6		171904
359	free	331		YES	486208		6		171904

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
360	alloc	23264		YES	462944		6		171904
361	free	341		YES	513792		6		171904
362	free	342		YES	594592		6		176448
363	free	345		YES	711680		5		465440
364	alloc	37792		YES	673888		5		465440
365	free	347		YES	677504		4		465440
366	free	360		YES	700768		3		496384
367	free	349		YES	756992		3		496384
368	alloc	69728		YES	687264		3		496384
369	alloc	2208		YES	685056		3		496384
370	alloc	6368		YES	678688		3		496384
371	alloc	40608		YES	638080		3		496384
372	alloc	103328		YES	534752		3		496384
373	alloc	53280		YES	481472		3		443104
374	free	346		YES	594336		3		443104
375	alloc	87200		YES	507136		3		443104
376	free	368		YES	576864		4		443104
377	alloc	70752		YES	506112		4		372352
378	alloc	68832		YES	437280		4		372352
379	free	352		YES	522752		4		372352

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
380	free	350		NO	522752		4		372352
381	alloc	36000		YES	486752		4		372352
382	free	354		YES	542208		4		372352
383	free	364		YES	580000		4		372352
384	alloc	117344		YES	462656		4		372352
385	alloc	46176		YES	416480		4		372352
386	free	375		YES	503680		5		372352
387	alloc	83872		YES	419808		5		372352
388	free	371		YES	460416		6		372352
389	alloc	118112		YES	342304		6		254240
390	free	381		YES	378304		7		254240
391	free	372		YES	481632		6		254240
392	alloc	91808		YES	389824		6		254240
393	free	373		YES	443104		6		254240
394	alloc	40608		YES	402496		6		254240
395	alloc	27040		YES	375456		6		254240
396	free	389		YES	493568		6		372352
397	free	370		YES	499936		7		372352
398	free	369		YES	502144		7		372352
399	alloc	37344		YES	464800		7		372352

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
400	alloc	45152		YES	419648		7		372352
401	alloc	21152		YES	398496		7		351200
402	alloc	107168		YES	291328		7		244032
403	alloc	72416		YES	218912		7		171616
404	free	387		YES	302784		6		171616
405	free	377		YES	373536		6		171616
406	alloc	30944		YES	342592		6		171616
407	free	378		YES	411424		5		171616
408	alloc	66208		YES	345216		5		171616
409	alloc	108512		YES	236704		5		99072
410	free	400		YES	281856		6		99072
411	free	392		YES	373664		6		99072
412	alloc	64160		YES	309504		6		99072
413	free	385		YES	355680		6		145248
414	free	384		YES	473024		6		145248
415	alloc	22304		YES	450720		6		145248
416	free	401		YES	471872		6		145248
417	alloc	28896		YES	442976		6		145248
418	free	395		YES	470016		6		164864
419	free	399		YES	507360		6		182592

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
420	free	394		YES	547968		5		217184
421	free	403		YES	620384		6		217184
422	free	408		YES	686592		5		465984
423	alloc	61856		YES	624736		5		465984
424	free	402		YES	731904		4		465984
425	free	406		YES	762848		3		465984
426	alloc	54688		YES	708160		3		465984
427	alloc	7648		YES	700512		3		465984
428	alloc	85728		YES	614784		3		465984
429	alloc	111136		YES	503648		3		465984
430	free	417		YES	532544		3		494880
431	free	426		YES	587232		3		549568
432	free	415		YES	609536		3		571872
433	alloc	10784		YES	598752		3		571872
434	alloc	95520		YES	503232		3		476352
435	free	423		YES	565088		3		476352
436	free	409		YES	673600		2		476352
437	free	429		YES	784736		3		476352
438	alloc	67104		YES	717632		3		476352
439	alloc	129184		YES	588448		3		476352

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
440	free	412		YES	652608		4		476352
441	free	433		YES	663392		4		476352
442	alloc	7904		YES	655488		4		476352
443	free	428		YES	741216		5		476352
444	alloc	18784		YES	722432		5		476352
445	alloc	40032		YES	682400		5		476352
446	alloc	119200		YES	563200		5		357152
447	alloc	28384		YES	534816		5		357152
448	alloc	103264		YES	431552		5		253888
449	alloc	74464		YES	357088		5		253888
450	alloc	3936		YES	353152		5		253888
451	free	439		YES	482336		5		253888
452	alloc	13728		YES	468608		5		253888
453	free	442		YES	476512		6		253888
454	free	438		YES	543616		5		253888
455	alloc	89696		YES	453920		5		253888
456	free	446		YES	573120		6		253888
457	free	427		YES	580768		6		261536
458	free	449		YES	655232		6		336000
459	free	448		YES	758496		5		558464

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
460	alloc	96224		YES	662272		5		462240
461	alloc	114784		YES	547488		5		347456
462	free	455		YES	637184		5		347456
463	free	445		YES	677216		6		347456
464	free	434		YES	772736		6		347456
465	alloc	47200		YES	725536		6		347456
466	alloc	45152		YES	680384		6		347456
467	free	450		YES	684320		6		351392
468	alloc	11680		YES	672640		6		351392
469	alloc	91040		YES	581600		6		351392
470	free	468		YES	593280		6		351392
471	alloc	126944		YES	466336		6		224448
472	free	447		YES	494720		5		224448
473	free	471		YES	621664		5		351392
474	free	444		YES	640448		5		351392
475	alloc	105248		YES	535200		5		351392
476	alloc	111264		YES	423936		5		240128
477	free	460		YES	520160		5		240128
478	alloc	54624		YES	465536		5		240128
479	free	452		YES	479264		5		240128

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
480	free	469		YES	570304		5		240128
